,role,firm,location,jd,time_ago
0,People Data Analyst (Immediate Hiring),"aCommerce Co., Ltd.",Wattana,BTS PHROM PHONGHYBRID WFH WFOFree Company Lunch Meal Everyday,15h ago
1,Internet Research Analyst,Dan Murdoch Risk Services (Thailand) Company Limited,Sathorn,English language proficiencyAnalytical and research skillsInternet searching and data entry skills,20h ago
2,Administration (Data Analyst),Bualuang Securities Public Company Limited,Bangrak,"Expenses report  ,office budgets reportUpdate expenses databasesExpert in MS Excel and data analysis",3d ago
3,Supply Chain Master Data & Analytics Functional Expert,"Mars Petcare (Thailand) Co., Ltd.",Jatuchak,Skilled of Supply Chain Master Data & AnalyticsFirst line of support to all supply chain plannersStrong command in English,20h ago
4,Pricing Analyst for downstream oil and gas business,Vinarco Services (Thailand) Limited,Bangkok,"5 years' in pricing, financial analysis in FMCGadvanced MS Excel, SAP, and Power BI skills.Effective communication abilities in Thai and Eng.",20h ago
5,Consumer Insight Analyst (Social Media Data),"Wisesight (Thailand) Co., Ltd.",Jatuchak,Analyzing social media dataUnderstanding market trends and customers' needsExcel: Pivot table & VLOOKUP,4d ago
6,Senior Data Analyst - Marketing 50 - 70 K,"SAND-M GLOBAL CO., LTD.",Bangyai,Have at least 5 years of data analysis in FMCGDerive key findings from dataHave Good Presentation Skills,3d ago
7,Junior Project Manager (Business Analyst),"Primo World Co., Ltd.",Bangrak,"Working Location: BTS Chongnonsri (Hybrid)Project Management, Business AnalystEager to learn more about new technologies",20h ago
8,Data Scientist,ExxonMobil Limited,Klongtoey,"3 years of work experienceData Analytic, Data ScientistOil&Gas",3d ago
9,Data Scientist,Bank of Ayudhya Public Company Limited (Ayudhya Capital Auto),Pathumwan,"Experience in Telecom, Banking, Financing.Experience in Big Data or AI/ML projectsStrong in Mathematics & Statistics",4d ago
10,Data Analyst (Power BI & Dashboard),Bangkok Bank Public Company Limited,Bangrak,"Microsoft PowerBIdashboard, etlCapacity Planning and Performance Monitoring",20h ago
11,Data Analyst,LINE Company (Thailand) Limited,Pathumwan,"3+ years of experience in relevant fieldsExperienced in analysis tools - SQL, R, and PythonComfort working with Hadoop Ecosystem",15h ago
12,"Data Scientist / Data Analyst  (Python, R, SQL) (Jr. - Team Lead)",Muang Thai Life Assurance Public Company Limited,Huaykwang,"Develops and executes statistical analysesStatistical ModelingCoding skills in SQL, R, and Python is a must",15h ago
13,Data Analyst - PMO Department,Central JD Commerce Limited.,Pathumwan,"Determine the metrics, reports and analysesProvide in-depth and insightful analysisCreating reports to lead to business action",20h ago
14,Data Analyst,"Internet Based Business Group Co., Ltd.",Jatuchak,,20h ago
15,Data Analyst,WHA Corporation PCL.,Bangplee,"Leverage data to gain actionable insights.Skills in SQL,PL/SQL, Python and Power BIImplement Data Visualization.",20h ago
16,Data Analyst,PRTR,Bangkok,"3-5 Yrs as Data Analyst or Related FieldExpert in Excel (Pivot, VLookUp, Dashboard)Good English Skills",20h ago
17,Business & Data Analyst,"Frontis Co., Ltd.",Bangkor-laem,Data Analysis SkillAnalytical SkillBusiness Development,20h ago
18,Solution Consultant and Data Analyst (Marketing Technology) - All Level,"M Intelligence Co., Ltd.",Sathorn,Competitive salary & performance bonusFlexible working hourSelf-Managed,15h ago
19,Data Analyst/ผู้ดูแลระบบข้อมูล,Property Scout (Thailand) Company Limited,Wattana,"International work environmentFast career developmentSalary 18-25k + KPI bonus, 5 work days",20h ago
